idx	run_id	config_path	out_dir	topology	arch	sparsity_knob	sparsity_value	seed
23	helix_topk_k03_seed2	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_helix/helix_topk_k03_seed2.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v1/helix/topk/k03_seed2	helix	topk	k	3	2
24	helix_topk_k04_seed0	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_helix/helix_topk_k04_seed0.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v1/helix/topk/k04_seed0	helix	topk	k	4	0
25	helix_topk_k04_seed1	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_helix/helix_topk_k04_seed1.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v1/helix/topk/k04_seed1	helix	topk	k	4	1
26	helix_topk_k04_seed2	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_helix/helix_topk_k04_seed2.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v1/helix/topk/k04_seed2	helix	topk	k	4	2
27	helix_topk_k06_seed0	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_helix/helix_topk_k06_seed0.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v1/helix/topk/k06_seed0	helix	topk	k	6	0
28	helix_topk_k06_seed1	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_helix/helix_topk_k06_seed1.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v1/helix/topk/k06_seed1	helix	topk	k	6	1
29	helix_topk_k06_seed2	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_helix/helix_topk_k06_seed2.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v1/helix/topk/k06_seed2	helix	topk	k	6	2
30	helix_topk_k08_seed0	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_helix/helix_topk_k08_seed0.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v1/helix/topk/k08_seed0	helix	topk	k	8	0
31	helix_topk_k08_seed1	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_helix/helix_topk_k08_seed1.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v1/helix/topk/k08_seed1	helix	topk	k	8	1
32	helix_topk_k08_seed2	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_helix/helix_topk_k08_seed2.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v1/helix/topk/k08_seed2	helix	topk	k	8	2
