idx	run_id	config_path	out_dir	topology	arch	sparsity_knob	sparsity_value	seed
21	helix_topk_k24_seed2	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_topk_high/helix_topk_k24_seed2.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v1/helix/topk/k24_seed2	helix	topk	k	24	2
22	torus_topk_k24_seed2	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_topk_high/torus_topk_k24_seed2.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v1/torus/topk/k24_seed2	torus	topk	k	24	2
23	sphere_topk_k24_seed2	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_topk_high/sphere_topk_k24_seed2.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v1/sphere/topk/k24_seed2	sphere	topk	k	24	2
24	circle_topk_k32_seed0	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_topk_high/circle_topk_k32_seed0.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v1/circle/topk/k32_seed0	circle	topk	k	32	0
25	helix_topk_k32_seed0	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_topk_high/helix_topk_k32_seed0.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v1/helix/topk/k32_seed0	helix	topk	k	32	0
26	torus_topk_k32_seed0	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_topk_high/torus_topk_k32_seed0.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v1/torus/topk/k32_seed0	torus	topk	k	32	0
27	sphere_topk_k32_seed0	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_topk_high/sphere_topk_k32_seed0.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v1/sphere/topk/k32_seed0	sphere	topk	k	32	0
28	circle_topk_k32_seed1	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_topk_high/circle_topk_k32_seed1.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v1/circle/topk/k32_seed1	circle	topk	k	32	1
29	helix_topk_k32_seed1	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_topk_high/helix_topk_k32_seed1.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v1/helix/topk/k32_seed1	helix	topk	k	32	1
30	torus_topk_k32_seed1	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_topk_high/torus_topk_k32_seed1.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v1/torus/topk/k32_seed1	torus	topk	k	32	1
31	sphere_topk_k32_seed1	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_topk_high/sphere_topk_k32_seed1.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v1/sphere/topk/k32_seed1	sphere	topk	k	32	1
32	circle_topk_k32_seed2	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_topk_high/circle_topk_k32_seed2.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v1/circle/topk/k32_seed2	circle	topk	k	32	2
33	helix_topk_k32_seed2	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_topk_high/helix_topk_k32_seed2.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v1/helix/topk/k32_seed2	helix	topk	k	32	2
34	torus_topk_k32_seed2	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_topk_high/torus_topk_k32_seed2.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v1/torus/topk/k32_seed2	torus	topk	k	32	2
35	sphere_topk_k32_seed2	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_topk_high/sphere_topk_k32_seed2.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v1/sphere/topk/k32_seed2	sphere	topk	k	32	2
