topo,arch,coeff,L0,L0_final,mse,n_dead,elapsed_s
circle,jumprelu,1e-05,47.61875,45.97265625,0.00021936827833997087,18,137.0712640285492
circle,jumprelu,3e-05,43.12578125,39.62109375,0.0005395967164076865,18,163.86658883094788
circle,jumprelu,0.0001,32.931640625,32.00390625,0.0012029494275338948,26,139.26603889465332
circle,jumprelu,0.0003,18.805078125,14.6328125,0.0020386062795296313,61,139.34387278556824
circle,jumprelu,0.001,1.569921875,1.515625,0.0009066576196346432,122,143.19137239456177
circle,jumprelu,0.003,1.116796875,1.14453125,0.0008586854499299079,125,166.16364884376526
circle,jumprelu,0.01,0.676171875,0.640625,0.003933082055300474,125,134.77377724647522
circle,jumprelu,0.03,0.018359375,0.015625,0.01543527627363801,118,134.62322640419006
circle,jumprelu,0.1,0.0,0.0,0.015708488039672376,128,135.62037444114685
circle,relu_l1,0.0001,38.835546875,18.140625,0.0001075799751561135,30,88.31510090827942
circle,relu_l1,0.0003,39.31640625,38.3046875,0.00017855766200227662,19,90.7680516242981
circle,relu_l1,0.001,21.226171875,28.0625,0.0003882312492351048,31,91.46201539039612
circle,relu_l1,0.003,17.434765625,26.79296875,0.0007880624994868413,22,98.17645621299744
circle,relu_l1,0.01,15.866015625,8.7578125,0.0028621389996260405,95,90.52096343040466
circle,relu_l1,0.03,1.617578125,0.28125,0.015417337417602539,63,84.86788415908813
circle,relu_l1,0.1,0.073046875,0.0,0.01575869768857956,128,85.61570930480957
circle,relu_l1,0.3,0.003515625,0.0,0.01575634554028511,128,111.8701868057251
circle,relu_l1,1.0,0.0,0.0,0.015753675997257233,128,92.49441504478455
circle,relu_l1,3.0,0.0,0.0,0.01575323324650526,128,105.09410667419434
helix,jumprelu,1e-05,118.047265625,119.41796875,0.0006929432565812021,0,134.0545618534088
helix,jumprelu,3e-05,117.55,120.60546875,0.0022625127574428918,1,127.34485030174255
helix,jumprelu,0.0001,123.44140625,123.16015625,0.0017074473551474511,0,127.80385661125183
helix,jumprelu,0.0003,117.864453125,116.84375,0.0018985642353072762,2,127.89944362640381
helix,jumprelu,0.001,106.616015625,104.63671875,0.002817419217899442,9,126.69200468063354
helix,jumprelu,0.003,111.365234375,111.94921875,0.006394897494465113,3,128.2674572467804
helix,jumprelu,0.01,97.19453125,94.87109375,0.019933959003537893,9,148.771381855011
helix,jumprelu,0.03,83.209375,80.734375,0.03447319027036429,12,128.57997918128967
helix,jumprelu,0.1,64.7515625,64.55859375,0.08871430605649948,21,146.44795894622803
helix,relu_l1,0.0001,102.924609375,102.08984375,0.0016222200356423855,6,87.35081672668457
helix,relu_l1,0.0003,80.38046875,80.59375,0.0021938376128673555,21,87.2980523109436
helix,relu_l1,0.001,62.40390625,52.94921875,0.0039704892784357074,39,91.21863460540771
helix,relu_l1,0.003,81.93984375,82.125,0.012692812830209732,3,89.25673866271973
helix,relu_l1,0.01,48.3484375,44.3359375,0.03860129471868277,38,91.20349049568176
helix,relu_l1,0.03,41.86484375,42.71875,0.09502607025206089,40,90.95263814926147
helix,relu_l1,0.1,24.9015625,21.3359375,0.14586563408374786,49,90.75907301902771
helix,relu_l1,0.3,4.7890625,1.3203125,0.4310877025127411,50,108.94686675071716
helix,relu_l1,1.0,2.118359375,1.01953125,0.5910451680421829,74,95.42320370674133
helix,relu_l1,3.0,1.32421875,0.19921875,0.6807412147521973,106,100.33540797233582
sphere,jumprelu,1e-05,47.7515625,46.99609375,0.00018243458907818422,11,134.8679645061493
sphere,jumprelu,3e-05,37.6125,34.91796875,0.0004430880129802972,28,132.0668330192566
sphere,jumprelu,0.0001,22.989453125,19.76171875,0.0013678759336471558,52,152.18569374084473
sphere,jumprelu,0.0003,2.557421875,2.6640625,0.0013878639263566583,91,151.77909755706787
sphere,jumprelu,0.001,1.733984375,1.76171875,0.00175353690283373,108,152.941232919693
sphere,jumprelu,0.003,1.34921875,1.265625,0.0018701451946981252,118,155.5687131881714
sphere,jumprelu,0.01,0.589453125,0.55859375,0.006634522788226604,114,174.11406421661377
sphere,jumprelu,0.03,0.005078125,0.00390625,0.01565062692388892,128,160.48869276046753
sphere,jumprelu,0.1,0.0,0.0,0.015726445615291594,128,180.03108859062195
sphere,relu_l1,0.0001,35.17578125,27.27734375,0.00011903739796252921,29,91.82228398323059
sphere,relu_l1,0.0003,32.660546875,23.21484375,0.00018725654954323545,39,99.94329476356506
sphere,relu_l1,0.001,17.110546875,19.08984375,0.0003942646158975549,52,92.59072017669678
sphere,relu_l1,0.003,16.1875,19.66796875,0.0006447221152484417,43,92.07200598716736
sphere,relu_l1,0.01,13.602734375,16.3984375,0.0031378817278891803,43,94.63613200187683
sphere,relu_l1,0.03,0.9671875,0.47265625,0.015567992720752955,7,110.1847312450409
sphere,relu_l1,0.1,0.037109375,0.00390625,0.01572053674608469,128,93.5194079875946
sphere,relu_l1,0.3,0.003125,0.0,0.015720846876502038,128,93.11064410209656
sphere,relu_l1,1.0,0.0,0.0,0.015720566175878047,128,101.04188323020935
sphere,relu_l1,3.0,0.0,0.0,0.01572052203118801,128,95.96101260185242
torus,jumprelu,1e-05,57.984375,58.53515625,0.00017191756633110343,5,154.88898992538452
torus,jumprelu,3e-05,55.072265625,55.2421875,0.0002931964336312376,4,161.69776582717896
torus,jumprelu,0.0001,43.485546875,42.609375,0.001311189541593194,21,162.47499704360962
torus,jumprelu,0.0003,34.515625,33.734375,0.0037724121008068322,29,181.71099662780762
torus,jumprelu,0.001,12.3765625,11.1875,0.009140261774882674,64,165.01764917373657
torus,jumprelu,0.003,1.751953125,1.80078125,0.010227809380739927,91,168.16736960411072
torus,jumprelu,0.01,1.32578125,1.3125,0.012318765744566917,111,167.0496542453766
torus,jumprelu,0.03,0.7125,0.7421875,0.027793022245168685,120,163.13748574256897
torus,jumprelu,0.1,0.040234375,0.0234375,0.07519943565130234,120,170.53894019126892
torus,relu_l1,0.0001,43.28984375,39.5859375,0.0001997250015847385,10,110.2742567062378
torus,relu_l1,0.0003,37.73046875,31.0546875,0.0002733886300120503,20,97.02161908149719
torus,relu_l1,0.001,31.16015625,20.0078125,0.00047431839047931137,40,111.14609003067017
