idx	topology	arch	coeff	out_path
0	circle	relu_l1	0.0001	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/calibration/circle_relu_l1_c1e-04_s0.json
1	circle	relu_l1	0.0003	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/calibration/circle_relu_l1_c3e-04_s0.json
2	circle	relu_l1	0.001	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/calibration/circle_relu_l1_c1e-03_s0.json
3	circle	relu_l1	0.003	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/calibration/circle_relu_l1_c3e-03_s0.json
4	circle	relu_l1	0.01	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/calibration/circle_relu_l1_c1e-02_s0.json
5	circle	relu_l1	0.03	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/calibration/circle_relu_l1_c3e-02_s0.json
6	circle	relu_l1	0.1	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/calibration/circle_relu_l1_c1e-01_s0.json
7	circle	relu_l1	0.3	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/calibration/circle_relu_l1_c3e-01_s0.json
8	circle	relu_l1	1	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/calibration/circle_relu_l1_c1e+00_s0.json
9	circle	relu_l1	3	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/calibration/circle_relu_l1_c3e+00_s0.json
10	circle	jumprelu	1e-05	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/calibration/circle_jumprelu_c1e-05_s0.json
11	circle	jumprelu	3e-05	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/calibration/circle_jumprelu_c3e-05_s0.json
12	circle	jumprelu	0.0001	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/calibration/circle_jumprelu_c1e-04_s0.json
13	circle	jumprelu	0.0003	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/calibration/circle_jumprelu_c3e-04_s0.json
14	circle	jumprelu	0.001	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/calibration/circle_jumprelu_c1e-03_s0.json
15	circle	jumprelu	0.003	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/calibration/circle_jumprelu_c3e-03_s0.json
16	circle	jumprelu	0.01	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/calibration/circle_jumprelu_c1e-02_s0.json
17	circle	jumprelu	0.03	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/calibration/circle_jumprelu_c3e-02_s0.json
18	circle	jumprelu	0.1	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/calibration/circle_jumprelu_c1e-01_s0.json
19	helix	relu_l1	0.0001	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/calibration/helix_relu_l1_c1e-04_s0.json
20	helix	relu_l1	0.0003	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/calibration/helix_relu_l1_c3e-04_s0.json
21	helix	relu_l1	0.001	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/calibration/helix_relu_l1_c1e-03_s0.json
