idx	run_id	config_path	out_dir	topology	arch	sparsity_knob	sparsity_value	seed
67	torus_topk_k02_seed1	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_v1/torus_topk_k02_seed1.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v1/torus/topk/k02_seed1	torus	topk	k	2	1
68	torus_topk_k02_seed2	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_v1/torus_topk_k02_seed2.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v1/torus/topk/k02_seed2	torus	topk	k	2	2
69	torus_topk_k03_seed0	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_v1/torus_topk_k03_seed0.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v1/torus/topk/k03_seed0	torus	topk	k	3	0
70	torus_topk_k03_seed1	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_v1/torus_topk_k03_seed1.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v1/torus/topk/k03_seed1	torus	topk	k	3	1
71	torus_topk_k03_seed2	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_v1/torus_topk_k03_seed2.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v1/torus/topk/k03_seed2	torus	topk	k	3	2
72	torus_topk_k04_seed0	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_v1/torus_topk_k04_seed0.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v1/torus/topk/k04_seed0	torus	topk	k	4	0
73	torus_topk_k04_seed1	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_v1/torus_topk_k04_seed1.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v1/torus/topk/k04_seed1	torus	topk	k	4	1
74	torus_topk_k04_seed2	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_v1/torus_topk_k04_seed2.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v1/torus/topk/k04_seed2	torus	topk	k	4	2
75	torus_topk_k06_seed0	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_v1/torus_topk_k06_seed0.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v1/torus/topk/k06_seed0	torus	topk	k	6	0
76	torus_topk_k06_seed1	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_v1/torus_topk_k06_seed1.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v1/torus/topk/k06_seed1	torus	topk	k	6	1
